ID,Area,Operation,Audit Claim,Documentation Evidence,RSF Code Evidence,Classification,Recommended Action,Risk If Ignored,Suggested Test Coverage
LDOC-001,Route Assist,RouteSearch,"SYSTEM_RECOMMENDED requires searchPathOption; RSF omits it at or above 18000 ft","WSDL RouteSearchRequest says Search Path Option is required when Search Option is SYSTEM_RECOMMENDED; documented pair is SYSTEM_RECOMMENDED/LOW_ALTITUDE_ONLY","server/services/flight-plan-filing/provider.ts sets searchOption=SYSTEM_RECOMMENDED and only appends searchPathOption when selectLeidosRouteSearchPathOption returns non-null; 18000+ returns null",FAIL,"Use a documented non-SYSTEM_RECOMMENDED high-altitude option or skip route assist when no documented mode applies","High-altitude route assist can fail or mislead users","Outbound routeSearch assertions for low altitude, high altitude, missing altitude, oceanic routes, providerReturnStatus false"
LDOC-002,Security,All REST calls,"Leidos URLs carrying Basic Auth must be HTTPS fail-closed","WSDL REST examples use HTTPS and Basic Auth vendor credentials","normalizePath accepts http:// absolute values; fetchLeidosUrl supports http protocol",FAIL,"Reject non-HTTPS Leidos base/action/retrieve/route-search URLs before dispatch","Credentials and flight-plan data could be sent over cleartext HTTP due to env misconfiguration","Config tests for http override rejection and no provider dispatch"
LDOC-003,Privacy,FILE/AMEND/ACTIVATE/CLOSE/CANCEL/RETRIEVE,"Persist only allowlisted diagnostics, not raw provider response blobs","Provider responses may contain operational details and user data; audit requirement prohibits raw provider payload or PII in diagnostics","providerResult.raw stores response and metadataResponse; routes persist raw in filingRaw and filingActionHistory",FAIL,"Persist allowlisted parsed fields only; redact or drop unrestricted response and metadataResponse","Provider-echoed pilot data or sensitive flight details may remain in diagnostic JSON","Persistence tests for filingRaw, action history, notifications, and attempts"
LDOC-004,Vendor Authorization,FileFlightPlan/AmendFlightPlan,"Determine whether webUserName is required for vendor filing","WSDL example includes webUserName; schema snippets show minOccurs=0; authorization narrative references end-user vendor authorization","buildLeidosActionPayload does not append webUserName; accountEmail exists only in config diagnostics",LEIDOS_CONFIRMATION_REQUIRED,"Ask Leidos for required value and account-authorization contract before implementation","Production filing may fail if Leidos requires end-user authorization", "Payload tests after confirmation; no PII logging"
LDOC-005,Push Schema,WebServicePushFlightChange,"Parser should be validated against all Leidos push variants","WSDL lists push operations but lacks full observed payload fixture set","server/services/leidosWebhook.ts supports recursive recognized-field parsing and observed fixtures",LEIDOS_CONFIRMATION_REQUIRED,"Request push samples/schema from Leidos","Unobserved provider push variant may become no-op or provider-review noise","Fixture tests for each Leidos-provided push variant"
LDOC-006,Evidence Governance,Certification artifacts,"Final production approval should reference exact deployment-candidate evidence","Certification governance expectation; not a WSDL field","Workspace has old live-LAB artifacts and a fresh WSDL-check artifact; current final extended evidence not independently verified here",UNVERIFIED,"After FAIL remediation, rerun non-live release gate and approved live evidence cycle from deployment candidate","Review could rely on evidence from a different code state","Artifact hash and command transcript checks"
LDOC-007,Authentication,All REST calls,"Use Basic Auth vendor credentials","WSDL Authentication - Basic Auth; Authorization header with Vendor_ID:Vendor_Password","provider.ts builds Authorization Basic for action, retrieve, and routeSearch",PASS,"Keep credentials redacted and add HTTPS fail-closed from LDOC-002","Credential misuse if logging regresses","Scanner guard and no-secret-log tests"
LDOC-008,Authentication,WebServicePushFlightChange,"Verify webhook Basic Auth","WSDL push endpoints require authenticated vendor integration","routes.ts calls verifyLeidosWebhookAuthorization before webhook processing; provider.ts uses timingSafeEqual",PASS,"Keep fail-closed webhook auth","Unauthorized webhook mutation","Webhook auth negative tests"
LDOC-009,Endpoint,FileFlightPlan,"Use /FP/file and not mobile endpoint","WSDL REST spec POST /FP/file; /mobile/FP/file internal only","config actionPaths default to FP/file and code does not use mobile default",PASS,"Reject mobile paths in production config if desired","Unsupported internal endpoint usage","Config path tests"
LDOC-010,Endpoint,AmendFlightPlan,"Use /FP/{flightIdentifier}/amend and not mobile endpoint","WSDL REST spec POST /FP/{flightIdentifier}/amend; mobile internal only","config actionPaths resolve providerPlanId amend endpoint",PASS,"Reject mobile paths in production config if desired","Unsupported internal endpoint usage","Action path tests"
